Text;Sentiment
Check kendaraan kurang, sering mogok;0
Mogok mobilnya, tp cepat direspon, diganti;0
sayang antri....;0
Biasa;0
kurang puas karena hujan;0
Servicenya memuakan.. mas2 pemandunya baik2, sabar2, kreatif2 …  dapat sajian teh gratis d Gubuk kopi dn di tempat2 kerajinan . Terimakasih banyak;0
Ternyata harus booking beberapa hari  sebelumnya, karena kalau dadakan pesan tiket tidak kebagian / full Booking...;0
Oke biasa;0
Ok;0
"Dapat lebih dikembangkan, misalnya dengan memberikan training untuk driver agar lebih komunikatif untuk meningkatkan repeat order.

Untuk masing2 tempat wisata edukasi yang kami datangi cukup baik (gula jawa, madu)";0
Lumayan.;0
Minumanya mahal banget;0
Sewa vw 10 tidak ada foto nya pas di jalan;0
Supire do pecicilan ,, sesama pengguna jalan mbok yo do ra kemlinti ,,;0
Kurang manarik;0
Ok lumayan;0
"Tak taulah
Tp kreatif";0
Jajan teh gopek yg harganya nggak masuk di akal... ????????;0
Kasir e gak Jujur 7biji dihitung 10;0
Agak mahal jajanan yg dijual;0
Enak tp krn di bandung banyak jadi biasa aja, ada keripik pegagan pas bumbunya....murah2 lagi harganya;0
Enak sayangnya lokasinya yg sulit dijangkau & tempatnya yg sempit;0
kurang berkenan sama pelayanan;0
Pas ke stu mobile kosong harus boking dulu, nomernya ga bisa d hubungi;0
Ok, biasa;0
Layanan ga mutuuu;0
Harusnya kl tamunya booking ada lah buat driver,kan rekomen. Lumayan buat tambahan rejeki driver wisatanya... Ga  top, cukup tau aja ud. Sori ye bosss;0
emmm....kurang lengkap apalagi untuk wisatawan yang ingin menginap 2D1N trip atau lebih;0
Ya lumayan...;0
Klo pengen bisa ke atas candi borobudur aku saranin emang harus beli jauh jauh hari karena pas kemarin dadakan kesana kita gak bisa naik ke atas candi cuma sampai pelataran aja;0
Sopirnya seperti jari tengah ,, seperti tidak punya aturan di jalan,, membayakan pengguna jalan lain yang asal nylonong dan ga tau rambu2 marka;0
Tidak recomended,toilet air mati..tdk bs mandi,di bak jg blm dipenuhi air pdhal sdh dipastikan bnyak rombongan yg akan mandi..tdk dipersiapkan.sdh gt suruh bayar uang kebersihan (toilet)ditambah lg mati lampu..makanan B aja(ayame cuilik),tempat jg B aja ..tdk nyaman;0
"Fasilitas Toilet harusnya sdh masuk paket tp ada orang yg menjaga dan minta uang kebersihan
Suasana kurang terurus,,
Parkiran panas,,";0
Pelayanan judes, arogan;0
Penginapan nya spt gak terurus. Pesen room yg harga 700rb. Tapi gak sesuai ekspektasi;0
Apabila berkunjung untuk acara besar krg recomended karena kamar mandi sedikit, saat dipakai bersamaan air mati, tempat sholat kecil. Tempat duduk kurang banyak. Apabila acara pribadi cukup nyaman;0
Agak kotor tapi oke;0
Yah makian nyosss;0
".tempatnya tidak begitu luas, tapi nyaman dan bersih, cuma sedikit panas..parkirnya luas..
.masakan enak.. pelayanan ramah dan baik, harga murah tidak buat kantong kosong...
.rekomendasi";0
Lumayaaan...;0
